"name","ID","Apical_Buds_2h_vs_Apical_Buds_0h_p.val","Axillary_Buds_0h_vs_Apical_Buds_0h_p.val","Axillary_Buds_2h_vs_Axillary_Buds_0h_p.val","Apical_Buds_2h_vs_Apical_Buds_0h_p.adj","Axillary_Buds_0h_vs_Apical_Buds_0h_p.adj","Axillary_Buds_2h_vs_Axillary_Buds_0h_p.adj","Apical_Buds_2h_vs_Apical_Buds_0h_significant","Axillary_Buds_0h_vs_Apical_Buds_0h_significant","Axillary_Buds_2h_vs_Axillary_Buds_0h_significant","significant","Apical_Buds_2h_vs_Apical_Buds_0h_ratio","Axillary_Buds_0h_vs_Apical_Buds_0h_ratio","Axillary_Buds_2h_vs_Axillary_Buds_0h_ratio","Apical_Buds_0h_centered","Apical_Buds_2h_centered","Axillary_Buds_0h_centered","Axillary_Buds_2h_centered"
"A0A9D4WR77_PEA","A0A9D4WR77",0.805457066924907,0.697949210892011,0.41480241020555,0.996,0.839,0.644,FALSE,FALSE,FALSE,FALSE,-0.257,0.406,-0.776,0.0602,-0.197,0.466,-0.31
"A0A9D4WRC3_PEA","A0A9D4WRC3",0.166327368278034,0.831526261689134,0.349528821020584,0.787,0.917,0.587,FALSE,FALSE,FALSE,FALSE,1.01,-0.146,-0.588,-0.0347,0.972,-0.18,-0.768
"A0A9D4WRC3_PEA.1","A0A9D4WRC3",0.49126576207167,0.582729782331395,0.556234505433505,0.96,0.763,0.755,FALSE,FALSE,FALSE,FALSE,-0.966,-0.767,-0.736,0.882,-0.0836,0.116,-0.62
"A0A9D4WRD7_PEA","A0A9D4WRD7",0.661963981540465,0.522428736989683,0.144032162275088,0.996,0.715,0.336,FALSE,FALSE,FALSE,FALSE,0.133,-0.195,-0.422,0.186,0.318,-0.00984,-0.432
"A0A9D4WRE4_PEA","A0A9D4WRE4",0.178400074448606,0.249656988771175,0.960393499804541,0.796,0.448,0.982,FALSE,FALSE,FALSE,FALSE,1.63,1.37,-0.0508,-1.18,0.451,0.193,0.143
"A0A9D4WRG6_PEA","A0A9D4WRG6",0.692740878299437,0.253682395078839,0.247771396410571,0.996,0.453,0.48,FALSE,FALSE,FALSE,FALSE,-0.27,-0.811,0.735,0.316,0.045,-0.495,0.24
"A0A9D4WRG6_PEA.2","A0A9D4WRG6",0.460565791035611,0.0851245273245939,0.303509467563693,0.947,0.214,0.54,FALSE,FALSE,FALSE,FALSE,1.03,2.61,1.31,-2.06,-1.03,0.547,1.86
"A0A9D4WRH6_PEA","A0A9D4WRH6",0.892177293596563,0.021664192415725,0.0533463978773716,0.996,0.0764,0.17,FALSE,FALSE,FALSE,FALSE,0.121,2.44,-1.74,-0.888,-0.767,1.55,-0.19
"A0A9D4WRJ0_PEA","A0A9D4WRJ0",0.905593324444184,0.216091896245318,0.434173224821001,0.996,0.408,0.66,FALSE,FALSE,FALSE,FALSE,-0.174,-1.91,1.05,0.804,0.629,-1.11,-0.0582
"A0A9D4WRJ0_PEA.1","A0A9D4WRJ0",0.585109626383086,0.332009197205293,0.659573906044517,0.989,0.539,0.82,FALSE,FALSE,FALSE,FALSE,-0.759,-1.38,-0.546,1.11,0.348,-0.27,-0.815
"A0A9D4WRJ3_PEA","A0A9D4WRJ3",0.778174306423181,0.0265833976663737,0.112820933790392,0.996,0.089,0.286,FALSE,FALSE,FALSE,FALSE,-0.0681,0.63,0.371,-0.426,-0.495,0.204,0.575
"A0A9D4WRL7_PEA","A0A9D4WRL7",0.494043616091836,0.642040377379959,0.376473141944015,0.96,0.807,0.612,FALSE,FALSE,FALSE,FALSE,-0.754,-0.508,-0.881,0.723,-0.0308,0.215,-0.666
"A0A9D4WRM8_PEA","A0A9D4WRM8",0.651249727353458,0.839536179036948,0.791137141631585,0.996,0.921,0.897,FALSE,FALSE,FALSE,FALSE,0.285,0.127,-0.149,-0.107,0.179,0.0206,-0.128
"A0A9D4WRM8_PEA.1","A0A9D4WRM8",0.610947387449643,0.985509579564724,0.680728066588594,0.993,0.994,0.832,FALSE,FALSE,FALSE,FALSE,0.786,0.0278,0.567,-0.384,0.402,-0.356,0.211
"A0A9D4WRN2_PEA","A0A9D4WRN2",0.0529217529170741,0.705343070996481,0.219604942090545,0.601,0.843,0.445,FALSE,FALSE,FALSE,FALSE,2.66,0.461,1.4,-1.36,1.3,-0.897,0.502
"A0A9D4WRR2_PEA","A0A9D4WRR2",0.456532502802332,0.307192569551642,0.00878580508473892,0.943,0.512,0.0454,FALSE,FALSE,FALSE,FALSE,0.136,-0.19,0.531,-0.0785,0.0575,-0.268,0.263
"A0A9D4WRS5_PEA","A0A9D4WRS5",0.200314581752342,0.128210951509139,0.858556553717194,0.82,0.286,0.933,FALSE,FALSE,FALSE,FALSE,2.59,3.15,0.307,-2.51,0.0845,0.641,0.947
"A0A9D4WRS9_PEA","A0A9D4WRS9",0.760195485718184,0.962638154030794,0.457599775753793,0.996,0.983,0.68,FALSE,FALSE,FALSE,FALSE,-0.0878,0.0134,-0.194,0.0695,-0.0183,0.0829,-0.111
"A0A9D4WRU5_PEA","A0A9D4WRU5",0.731066539540953,0.650472031150798,0.760745926555665,0.996,0.811,0.878,FALSE,FALSE,FALSE,FALSE,-0.316,-0.417,-0.25,0.382,0.0662,-0.0354,-0.285
"A0A9D4WS06_PEA","A0A9D4WS06",0.349363805313125,0.537873939855124,0.813251114717522,0.904,0.728,0.911,FALSE,FALSE,FALSE,FALSE,0.202,0.131,-0.0443,-0.114,0.0874,0.0165,-0.0279
"A0A9D4WS07_PEA","A0A9D4WS07",0.69618883128181,0.205044425739295,0.72246050246286,0.996,0.394,0.859,FALSE,FALSE,FALSE,FALSE,0.0699,0.238,-0.0568,-0.133,-0.0634,0.105,0.0477
"A0A9D4WS20_PEA","A0A9D4WS20",0.869188386922614,0.171428456811403,0.51385423245262,0.996,0.349,0.724,FALSE,FALSE,FALSE,FALSE,-0.0966,-0.852,-0.347,0.586,0.489,-0.266,-0.613
"A0A9D4WS35_PEA","A0A9D4WS35",0.0869699771563368,0.364121895934709,0.687114102222627,0.686,0.57,0.836,FALSE,FALSE,FALSE,FALSE,-0.393,-0.194,-0.0756,0.234,-0.159,0.0394,-0.0361
"A0A9D4WS53_PEA","A0A9D4WS53",0.084353564323971,0.490204442066783,0.0292039735962385,0.678,0.688,0.11,FALSE,FALSE,FALSE,FALSE,-1.1,0.405,-1.32,0.439,-0.661,0.845,-0.477
"A0A9D4WS78_PEA","A0A9D4W284",0.591601113852055,0.0350347328857198,0.295305331157939,0.991,0.11,0.533,FALSE,FALSE,FALSE,FALSE,0.195,0.878,-0.349,-0.437,-0.242,0.441,0.0926
"A0A9D4WS87_PEA","A0A9D4WS87",0.590562733513293,0.143356131215734,0.276201285336341,0.99,0.309,0.512,FALSE,FALSE,FALSE,FALSE,0.389,-1.12,-0.725,0.705,1.09,-0.419,-1.14
"A0A9D4WSD2_PEA","A0A9D4WSD2",0.928482717464643,0.0918855853794591,0.674174884744808,0.996,0.226,0.828,FALSE,FALSE,FALSE,FALSE,-0.0943,1.94,0.397,-1.14,-1.24,0.8,1.2
"A0A9D4WSE1_PEA","A0A9D4WSE1",0.132534136575228,0.86387848431253,0.427129675816978,0.752,0.932,0.654,FALSE,FALSE,FALSE,FALSE,0.285,-0.0302,0.128,-0.0961,0.189,-0.126,0.00134
"A0A9D4WSE1_PEA.1","A0A9D4WSE1",0.0976880824369043,0.22506941623847,0.326329468224126,0.702,0.419,0.564,FALSE,FALSE,FALSE,FALSE,2.63,1.85,1.31,-2.08,0.546,-0.236,1.08
"A0A9D4WSG1_PEA","A0A9D4WSG1",0.21469988930574,0.0571342062698952,0.631229179287768,0.834,0.159,0.804,FALSE,FALSE,FALSE,FALSE,0.341,0.56,0.113,-0.429,-0.0885,0.131,0.244
"A0A9D4WSN0_PEA","A0A9D4WSN0",0.110268816984448,0.317680235149109,0.146235778015616,0.73,0.524,0.34,FALSE,FALSE,FALSE,FALSE,2.58,1.53,2.07,-2.1,0.475,-0.57,1.5
"A0A9D4WSN1_PEA","A0A9D4WSN1",0.159821318454422,0.0479922869854972,0.639529714308288,0.782,0.14,0.809,FALSE,FALSE,FALSE,FALSE,-0.622,-0.934,-0.175,0.727,0.105,-0.207,-0.382
"A0A9D4WSS3_PEA.1","A0A9D4WSS3",0.422868972742922,0.589840519518758,0.529883311571938,0.929,0.768,0.736,FALSE,FALSE,FALSE,FALSE,1.3,0.863,-0.902,-0.578,0.719,0.284,-0.618
