"Var1","Apical_Buds_0h_R2","Apical_Buds_0h_R3","Axillary_Buds_2h_R2","Apical_Buds_2h_R4","Axillary_Buds_2h_R1","Axillary_Buds_2h_R3","Apical_Buds_2h_R1","Apical_Buds_2h_R2","Axillary_Buds_0h_R1","Axillary_Buds_0h_R2","Axillary_Buds_0h_R3"
"A0A9D4WKN4_PEA",19.9104121277301,19.9681122533215,19.2223044519942,19.6623515393986,19.2223044519942,19.5112600291328,19.4100463634016,19.7269941260217,17.8454454969801,18.7128293272066,18.7330882974714
"A0A9D4WKU7_PEA",18.9161620726473,18.5725359370734,19.2166756886241,19.0930361950691,19.2166756886241,19.4336680817656,18.8886979010902,19.343832851414,19.3915084769933,19.5209143087053,19.5702516235361
"A0A9D4WKW0_PEA",17.0390361642446,18.1716002907612,18.5058480186019,18.3006463431122,18.5058334452124,18.3939038252417,18.0340188507163,18.2635903674014,19.7018328598934,19.5860833908705,19.3266933493357
"A0A9D4WL02_PEA",19.6000012314101,19.4679266660352,20.6096198247044,19.3458935366881,20.6096198247044,20.2146767748454,19.3415602424889,19.4005868513618,19.0808919679501,19.5861071125441,19.643715242539
"A0A9D4WL23_PEA",18.4383409223726,18.6812330264155,18.5065928919008,17.8126867576799,18.5065928919008,17.7994531121435,17.617970020911,17.9012016399325,17.4335268381495,15.5668263274344,16.4837732848705
"A0A9D4WL31_PEA",21.3524199251753,21.4979434160294,19.7885131538618,21.4600138582291,19.7885131538618,20.062411506375,21.6520934875762,21.2688312427101,19.813943027942,18.6744070663986,18.7121081548262
"A0A9D4WLD7_PEA",19.5555799550312,20.0512587573277,18.8044033191545,19.6671275936791,18.8044033191545,17.8991092414599,19.7612527439516,19.5481126257252,19.0779615216353,18.0918544002174,17.9930556604402
"A0A9D4WLE5_PEA",18.9285897657008,19.054782632613,19.1263653953889,19.4251177679583,19.1263653953889,18.9903707038838,19.3562539501357,19.0568141515559,20.5577482542504,20.3717864838756,20.470146613543
"A0A9D4WLF4_PEA",17.2548405818116,17.6321591620712,22.385511853415,22.8035164877708,22.385511853415,22.6973407688768,22.9619360469224,22.7091782995541,16.2313953690534,16.5422216334931,15.9615961954342
"A0A9D4WLL4_PEA",25.682520421987,25.4212241814121,24.8325028267527,25.8017431182049,24.8325028267527,24.8531983177898,25.8826203366543,25.789260533712,25.0704927504575,24.9563444577191,24.7374263166075
