"name","ID","Axillary_Buds_2h_vs_Axillary_Buds_0h_p.val","Axillary_Buds_2h_vs_Axillary_Buds_0h_p.adj","Axillary_Buds_2h_vs_Axillary_Buds_0h_significant","Axillary_Buds_2h_vs_Axillary_Buds_0h_ratio"
"A0A9D4X0Q3_PEA","A0A9D4X0Q3",0.00187495473070655,0.0152,TRUE,0.81
"A0A9D4X117_PEA","A0A9D4X117",0.000527425639969203,0.00636,TRUE,-0.841
"A0A9D4X125_PEA","A0A9D4X125",0.000268238293536902,0.00423,TRUE,1.55
"A0A9D4X185_PEA","A0A9D4X185",4.63924543818794e-05,0.00147,TRUE,1.24
"A0A9D4X1C6_PEA","A0A9D4X1C6",0.00105011081803531,0.0102,TRUE,3.4
"A0A9D4X1F1_PEA","A0A9D4X1F1",0.000281860952431279,0.00432,TRUE,-0.976
"A0A9D4X1M7_PEA","A0A9D4X1M7",0.00626206165045314,0.0361,TRUE,1.2
"A0A9D4X1U1_PEA","A0A9D4X1U1",0.000732176891886258,0.00804,TRUE,-0.957
"A0A9D4X282_PEA","A0A9D4X282",8.6843752515948e-05,0.00219,TRUE,1.1
"A0A9D4X2J8_PEA","A0A9D4X2J8",5.72528320568974e-06,0.000421,TRUE,-1.77
"A0A9D4X341_PEA","A0A9D4X341",0.00968948547248948,0.0489,TRUE,-0.83
"A0A9D4X372_PEA","A0A9D4X372",5.6609115185192e-05,0.00169,TRUE,-1.59
"A0A9D4X397_PEA","A0A9D4X112",3.55418749723331e-05,0.00123,TRUE,1.67
"A0A9D4X3A9_PEA","A0A9D4X3A9",0.00153060683964495,0.0132,TRUE,-1.24
"A0A9D4X3D1_PEA","A0A9D4X3D1",0.000394686519222055,0.00542,TRUE,-0.901
"A0A9D4X3F2_PEA","A0A9D4X3F2",0.00988368482787871,0.0496,TRUE,0.969
"A0A9D4X3G5_PEA","A0A9D4X3G5",0.00351460398847579,0.0239,TRUE,0.993
"A0A9D4X3L3_PEA","A0A9D4X3L3",0.000813503302701113,0.00853,TRUE,-1.5
"A0A9D4X3Q1_PEA","A0A9D4X3Q1",1.37563509378556e-07,5.9e-05,TRUE,2.54
"A0A9D4X3U5_PEA","A0A9D4X3U5",0.00213975717304355,0.0168,TRUE,0.844
"A0A9D4X3V3_PEA","A0A9D4X3V3",0.00176312450776117,0.0146,TRUE,0.814
"A0A9D4X3V5_PEA","A0A9D4VVN5",0.000251121593996311,0.00402,TRUE,-1.36
"A0A9D4X3Y5_PEA","A0A9D4X3Y5",0.00046827858157761,0.00598,TRUE,-0.827
"A0A9D4X406_PEA","A0A9D4X406",0.00030166124317065,0.00452,TRUE,-0.955
"A0A9D4X463_PEA","A0A9D4X463",0.000111610918989159,0.00256,TRUE,2.17
"A0A9D4X470_PEA","A0A9D4X470",0.000209435416940846,0.00357,TRUE,1.01
"A0A9D4X4F8_PEA","A0A9D4X4F8",0.000800636761406655,0.00846,TRUE,-1.34
"A0A9D4X4K3_PEA","A0A9D4X4K3",0.00107998232881789,0.0104,TRUE,-1.07
