"name","ID","Apical_Buds_2h_vs_Apical_Buds_0h_p.val","Axillary_Buds_0h_vs_Apical_Buds_0h_p.val","Axillary_Buds_2h_vs_Axillary_Buds_0h_p.val","Apical_Buds_2h_vs_Apical_Buds_0h_p.adj","Axillary_Buds_0h_vs_Apical_Buds_0h_p.adj","Axillary_Buds_2h_vs_Axillary_Buds_0h_p.adj","Apical_Buds_2h_vs_Apical_Buds_0h_significant","Axillary_Buds_0h_vs_Apical_Buds_0h_significant","Axillary_Buds_2h_vs_Axillary_Buds_0h_significant","significant","Apical_Buds_2h_vs_Apical_Buds_0h_ratio","Axillary_Buds_0h_vs_Apical_Buds_0h_ratio","Axillary_Buds_2h_vs_Axillary_Buds_0h_ratio","Apical_Buds_0h_centered","Apical_Buds_2h_centered","Axillary_Buds_0h_centered","Axillary_Buds_2h_centered"
"A0A9D5BB68_PEA","A0A9D4YF47",0.104410150793753,0.0448917828567615,0.16418392301518,0.72,0.133,0.367,FALSE,FALSE,FALSE,FALSE,0.361,0.468,-0.271,-0.28,0.0815,0.188,-0.0827
"A0A9D5BBA5_PEA","A0A9D4VPV1",0.640978054460121,0.504515716073535,0.497287727594666,0.996,0.7,0.712,FALSE,FALSE,FALSE,FALSE,-0.73,1.05,0.958,-0.636,-1.37,0.416,1.37
"A0A9D5BBA5_PEA.1","A0A9D4ZSC5",0.696171486678248,0.0248738032657474,0.0143922122974386,0.996,0.0848,0.0652,FALSE,FALSE,FALSE,FALSE,0.302,-2.04,2.06,0.47,0.772,-1.57,0.489
"A0A9D5BBF5_PEA","A0A9D4YJY5",0.243487495100983,0.0176291043818826,0.0322112074637848,0.847,0.0652,0.118,FALSE,FALSE,FALSE,FALSE,-0.379,-0.892,0.694,0.401,0.0215,-0.491,0.203
"A0A9D5BBF5_PEA.1","A0A9D4YJY5",0.9499618870741,0.430468737591478,0.260269114857043,0.996,0.633,0.495,FALSE,FALSE,FALSE,FALSE,0.0953,1.22,-1.59,-0.258,-0.162,0.963,-0.629
"A0A9D5BBG9_PEA","A0A9D5B5R8",0.811804948967349,0.389642969069853,0.130562408278122,0.996,0.594,0.315,FALSE,FALSE,FALSE,FALSE,0.144,-0.531,0.877,0.011,0.155,-0.52,0.358
"A0A9D5BBG9_PEA.1","A0A9D5BBG9",0.214037963537059,0.133107300811892,0.0834694307047384,0.834,0.293,0.234,FALSE,FALSE,FALSE,FALSE,1.45,1.79,1.89,-1.89,-0.44,-0.0966,1.79
"A0A9D5BBH6_PEA","A0A9D4VID5",0.415896906739242,0.527385790886774,0.756988402444971,0.929,0.719,0.876,FALSE,FALSE,FALSE,FALSE,-0.712,0.548,-0.238,-0.0401,-0.752,0.508,0.27
"A0A9D5BBH6_PEA.1","A0A9D5BBH6",0.193069181186538,0.261468359259645,0.95354534088457,0.809,0.462,0.978,FALSE,FALSE,FALSE,FALSE,2.13,1.81,-0.0807,-1.55,0.582,0.264,0.184
"A0A9D5BBH6_PEA.2","A0A9D4VID5",0.695687626136477,0.564359547902542,0.958325056227116,0.996,0.749,0.981,FALSE,FALSE,FALSE,FALSE,0.717,-1.06,-0.0852,0.407,1.12,-0.655,-0.74
"A0A9D5BBJ6_PEA","A0A9D5BE46",0.0339568846542396,0.332004151203754,0.561104506820945,0.55,0.539,0.758,FALSE,FALSE,FALSE,FALSE,-4.08,-1.66,0.871,1.78,-2.3,0.122,0.993
"A0A9D5BBL3_PEA","A0A9D5BBL3",0.162904752495049,0.497707438718909,0.468815225475093,0.783,0.694,0.688,FALSE,FALSE,FALSE,FALSE,-2.61,-1.21,1.16,1.05,-1.55,-0.153,1
"A0A9D5BBM3_PEA","A0A9D5BBM3",0.389038387525699,0.365988923485175,0.582068231746092,0.917,0.572,0.771,FALSE,FALSE,FALSE,FALSE,-0.951,1,-0.536,-0.14,-1.09,0.861,0.325
"A0A9D5BBR9_PEA","A0A9D5BA60",0.875560079415655,0.163870395755255,0.695607245642152,0.996,0.339,0.842,FALSE,FALSE,FALSE,FALSE,0.206,-1.95,0.463,0.882,1.09,-1.07,-0.606
"A0A9D5BBW8_PEA","A0A9D4YCM9",0.720509806530087,0.199658001186215,0.0931220149491491,0.996,0.387,0.251,FALSE,FALSE,FALSE,FALSE,-0.384,-1.45,1.76,0.414,0.0293,-1.03,0.729
