"","Common_Genes"
"462","A0A9D4ZUH9_PEA"
"463","A0A9D4ZV49_PEA"
"464","A0A9D4ZVL3_PEA.1"
"465","A0A9D4ZVN5_PEA"
"466","A0A9D4ZVZ0_PEA"
"467","A0A9D4ZW21_PEA"
"468","A0A9D4ZW25_PEA"
"469","A0A9D4ZW27_PEA"
"470","A0A9D4ZW94_PEA"
"471","A0A9D4ZWC9_PEA"
"472","A0A9D4ZWD0_PEA"
"473","A0A9D4ZWD6_PEA"
"474","A0A9D4ZWF0_PEA"
"475","A0A9D4ZWG0_PEA"
"476","A0A9D4ZWI0_PEA"
"477","A0A9D4ZWU4_PEA"
"478","A0A9D4ZWV8_PEA"
"479","A0A9D4ZX40_PEA"
"480","A0A9D4ZX73_PEA"
"481","A0A9D4ZX84_PEA"
"482","A0A9D4ZXB5_PEA"
"483","A0A9D4ZXE9_PEA"
"484","A0A9D4ZXQ3_PEA"
"485","A0A9D4ZXV3_PEA"
"486","A0A9D4ZXX3_PEA"
"487","A0A9D4ZYB6_PEA"
"488","A0A9D4ZZ03_PEA"
"489","A0A9D4ZZ32_PEA"
"490","A0A9D4ZZQ2_PEA"
"491","A0A9D4ZZX2_PEA"
"492","A0A9D4ZZY9_PEA"
"493","A0A9D5A064_PEA"
"494","A0A9D5A0A1_PEA"
"495","A0A9D5A0Y7_PEA"
"496","A0A9D5A1A3_PEA"
"497","A0A9D5A1F7_PEA"
"498","A0A9D5A1K9_PEA"
"499","A0A9D5A1N9_PEA"
"500","A0A9D5A242_PEA"
"501","A0A9D5A2K4_PEA"
"502","A0A9D5A2S0_PEA"
"503","A0A9D5A2S6_PEA"
"504","A0A9D5A387_PEA"
"505","A0A9D5A3F5_PEA"
"506","A0A9D5A3R4_PEA"
"507","A0A9D5A4I8_PEA"
"508","A0A9D5A4W0_PEA"
"509","A0A9D5A5X3_PEA"
"510","A0A9D5A6G5_PEA"
"511","A0A9D5A732_PEA"
"512","A0A9D5A7U2_PEA"
"513","A0A9D5A811_PEA"
"514","A0A9D5A842_PEA"
"515","A0A9D5A848_PEA"
"516","A0A9D5A853_PEA"
"517","A0A9D5A871_PEA"
"518","A0A9D5A8C7_PEA"
"519","A0A9D5A8G9_PEA"
"520","A0A9D5A8L5_PEA"
"521","A0A9D5A8L6_PEA"
"522","A0A9D5A8N7_PEA"
"523","A0A9D5A9G8_PEA"
"524","A0A9D5A9J8_PEA"
"525","A0A9D5A9M6_PEA"
"526","A0A9D5A9P5_PEA"
"527","A0A9D5AA84_PEA"
"528","A0A9D5AAH0_PEA"
"529","A0A9D5AAL1_PEA.1"
"530","A0A9D5AAT4_PEA"
"531","A0A9D5AAX8_PEA"
"532","A0A9D5AB98_PEA"
"533","A0A9D5ABT5_PEA"
"534","A0A9D5ABV1_PEA"
"535","A0A9D5AC37_PEA"
"536","A0A9D5ACA2_PEA"
"537","A0A9D5ACK3_PEA"
"538","A0A9D5ACW5_PEA"
"539","A0A9D5AD54_PEA"
"540","A0A9D5AD69_PEA"
"541","A0A9D5ADY9_PEA"
"542","A0A9D5AE16_PEA"
"543","A0A9D5AEA2_PEA"
"544","A0A9D5AED5_PEA"
"545","A0A9D5AEK5_PEA"
"546","A0A9D5AEM3_PEA"
"547","A0A9D5AFE4_PEA"
"548","A0A9D5AFJ4_PEA"
"549","A0A9D5AG23_PEA"
"550","A0A9D5AG87_PEA"
"551","A0A9D5AGB5_PEA"
"552","A0A9D5AGK7_PEA"
"553","A0A9D5AGU5_PEA"
"554","A0A9D5AGZ2_PEA"
"555","A0A9D5AH04_PEA"
"556","A0A9D5AH16_PEA"
"557","A0A9D5AH55_PEA"
"558","A0A9D5AH86_PEA"
"559","A0A9D5AHM6_PEA"
"560","A0A9D5AIJ7_PEA"
"561","A0A9D5AJ07_PEA"
"562","A0A9D5AJ24_PEA"
"563","A0A9D5AJ56_PEA"
"564","A0A9D5AJ70_PEA"
"565","A0A9D5AJA0_PEA"
"566","A0A9D5AJF5_PEA"
"567","A0A9D5AJW1_PEA"
"568","A0A9D5AK16_PEA"
"569","A0A9D5AKH9_PEA"
"570","A0A9D5AKX5_PEA"
"571","A0A9D5AL51_PEA"
"572","A0A9D5AL72_PEA"
"573","A0A9D5ALA9_PEA"
"574","A0A9D5ALL2_PEA"
"575","A0A9D5AM03_PEA.1"
"576","A0A9D5AP59_PEA"
"577","A0A9D5AP60_PEA"
"578","A0A9D5APA5_PEA"
"579","A0A9D5APA9_PEA"
"580","A0A9D5AQ07_PEA"
"581","A0A9D5AQ68_PEA"
"582","A0A9D5AQ75_PEA"
"583","A0A9D5AQ83_PEA.1"
"584","A0A9D5AR30_PEA"
"585","A0A9D5ARC7_PEA"
"586","A0A9D5ARF5_PEA"
"587","A0A9D5ARK8_PEA"
"588","A0A9D5ARR7_PEA"
"589","A0A9D5AS18_PEA"
"590","A0A9D5AS49_PEA"
"591","A0A9D5AS74_PEA"
"592","A0A9D5ASI6_PEA"
"593","A0A9D5ASL8_PEA"
"594","A0A9D5AT22_PEA"
"595","A0A9D5ATB4_PEA"
"596","A0A9D5ATP4_PEA"
"597","A0A9D5AU05_PEA"
"598","A0A9D5AU34_PEA"
"599","A0A9D5AUJ3_PEA"
"600","A0A9D5AVA2_PEA"
"601","A0A9D5AVA3_PEA"
"602","A0A9D5AVK0_PEA"
"603","A0A9D5AVR1_PEA"
"604","A0A9D5AWB0_PEA"
"605","A0A9D5AWI5_PEA"
"606","A0A9D5AX33_PEA"
"607","A0A9D5AXA6_PEA"
"608","A0A9D5AY48_PEA"
"609","A0A9D5AYH3_PEA"
"610","A0A9D5AYP6_PEA"
"611","A0A9D5AYQ2_PEA"
"612","A0A9D5AYV7_PEA"
"613","A0A9D5AYX4_PEA"
"614","A0A9D5AYY9_PEA"
"615","A0A9D5AZ06_PEA"
"616","A0A9D5AZA6_PEA"
"617","A0A9D5AZM9_PEA"
"618","A0A9D5B016_PEA"
"619","A0A9D5B032_PEA"
"620","A0A9D5B0D3_PEA"
"621","A0A9D5B1F9_PEA"
"622","A0A9D5B215_PEA"
"623","A0A9D5B2F3_PEA"
"624","A0A9D5B2S5_PEA"
"625","A0A9D5B326_PEA"
"626","A0A9D5B370_PEA"
"627","A0A9D5B3P8_PEA"
"628","A0A9D5B429_PEA"
"629","A0A9D5B4A8_PEA"
"630","A0A9D5B4K5_PEA"
"631","A0A9D5B4S1_PEA"
"632","A0A9D5B4U5_PEA"
"633","A0A9D5B5R8_PEA"
"634","A0A9D5B6S2_PEA"
"635","A0A9D5B6T3_PEA"
"636","A0A9D5B6U6_PEA"
"637","A0A9D5B710_PEA"
"638","A0A9D5B751_PEA"
"639","A0A9D5B7A1_PEA"
"640","A0A9D5B7A5_PEA"
"641","A0A9D5B7N6_PEA"
"642","A0A9D5B7Z0_PEA"
"643","A0A9D5B8M1_PEA"
"644","A0A9D5B8N4_PEA"
"645","A0A9D5B8X4_PEA.1"
"646","A0A9D5B8Z7_PEA"
"647","A0A9D5B915_PEA.1"
"648","A0A9D5BA02_PEA"
"649","A0A9D5BA17_PEA"
"650","A0A9D5BAB3_PEA"
"651","A0A9D5BB42_PEA"
"652","A0A9D5BBP3_PEA"
"653","A0A9D5BBV2_PEA"
"654","A0A9D5BCQ5_PEA"
"655","A0A9D5BD02_PEA"
"656","A0A9D5BDL3_PEA"
"657","A0A9D5BE63_PEA"
"658","A0A9D5BE76_PEA"
"659","A0A9D5BE87_PEA.2"
"660","A0A9D5BEP1_PEA"
"661","A0A9D5BFD0_PEA"
"662","A0A9D5BFM0_PEA"
"663","A0A9D5BFX4_PEA"
"664","A0A9D5BG57_PEA"
"665","A0A9D5BGD5_PEA"
"666","A0A9D5BGG5_PEA"
"667","A0A9D5BHA8_PEA"
"668","A0A9D5BHB3_PEA"
"669","A0A9D5BHI9_PEA"
"670","A0A9D5BHW9_PEA"
"671","A0A9D5BIH1_PEA"
"672","A0A9D5BIH9_PEA"
"673","A0A9D5BIU3_PEA"
"674","A0A9D5BJI1_PEA"
"675","A0A9D5BK77_PEA"
"676","A0A9D5BKE5_PEA.1"
"677","A0A9D5BL71_PEA"
"678","A0A9D5BLA5_PEA"
"679","A0A9D5BLB3_PEA"
"680","A0A9D5BMJ8_PEA"
"681","A0A9D5BMW3_PEA"
"682","A0A9D5BN88_PEA"
"683","A0A9D5BN94_PEA"
"684","A0A9D5BNG3_PEA"
"685","A0A9D5BNI4_PEA"
"686","A0A9D5BNL5_PEA"
"687","A0A9D5BNP8_PEA"
"688","A0A9D5BNQ5_PEA"
"689","A0A9D5BNZ0_PEA"
"690","A0A9D5BP02_PEA"
"691","A0A9D5BPZ8_PEA"
"692","A0A9D5BQ33_PEA"
"693","A0A9D5BQH9_PEA"
"694","A0A9D5BQX5_PEA"
"695","A0A9D5BR69_PEA"
"696","A0A9D5BR95_PEA"
"697","A0A9D5BRH1_PEA"
"698","A0A9D5BRU4_PEA.1"
"699","A0A9D5BRY6_PEA"
"700","A0A9D5BS48_PEA"
"701","A0A9D5GUM0_PEA"
"702","A0A9D5GUQ9_PEA"
"703","A0A9D5GV04_PEA"
"704","A0A9D5GWC2_PEA"
"705","A0A9D5GWX8_PEA"
"706","A0A9D5GXB0_PEA"
"707","A0A9D5GXI1_PEA"
"708","A0A9D5GY82_PEA"
"709","A0A9D5GZ82_PEA"
"710","A0A9D5GZT5_PEA"
"711","A0A9D5GZZ9_PEA"
"712","A0A9D5GZZ9_PEA.1"
"713","A0A9D5H0I7_PEA"
"714","A0A9D5H0J0_PEA"
"715","A0A9D5H0P5_PEA"
"716","A0A9D5H0W8_PEA"
"717","A0A9D5H0Y0_PEA"
"718","A0A9D5H130_PEA"
"719","A0A9D5H172_PEA"
"720","A0A9D5H182_PEA"
"721","A0A9D5H1C9_PEA"
"722","AADH1_PEA"
"723","AADH2_PEA"
"724","C97B1_PEA"
"725","CB24_PEA"
"726","CYF_PEA"
"727","CYSP_PEA"
"728","FENR2_PEA"
"729","FYPP_PEA"
"730","GALE1_PEA"
"731","GLNA3_PEA.1"
"732","GPA1_PEA"
"733","GSHRC_PEA"
"734","HEM2_PEA"
"735","HSP7M_PEA"
"736","ILV5_PEA"
"737","KDSA_PEA"
"738","NDK1_PEA"
"739","NLTP3_PEA"
"740","OEP24_PEA"
"741","PETD_PEA"
"742","PLSB_PEA"
"743","PSAC_PEA"
"744","PYRB1_PEA"
"745","Q0KKQ3_PEA"
"746","Q41027_PEA"
"747","Q43816_PEA"
