"name","ID","Axillary_Buds_0h_vs_Apical_Buds_0h_p.val","Axillary_Buds_0h_vs_Apical_Buds_0h_p.adj","Axillary_Buds_0h_vs_Apical_Buds_0h_significant","Axillary_Buds_0h_vs_Apical_Buds_0h_ratio"
"A0A9D4WWD3_PEA","A0A9D4WWD3",5.966992323506e-06,0.000249,TRUE,-2.16
"A0A9D4WWF8_PEA","A0A9D4WWF8",0.00138048502988217,0.00896,TRUE,-1.05
"A0A9D4WWQ0_PEA","A0A9D4WTE7",0.00323081355866317,0.0173,TRUE,2.4
"A0A9D4WX03_PEA","A0A9D4WX03",5.21109042027761e-07,7.58e-05,TRUE,-3.07
"A0A9D4WX24_PEA","A0A9D4WX24",0.00773562850287271,0.0346,TRUE,-0.801
"A0A9D4WXC9_PEA.1","A0A9D4WXC9",0.00013407085895884,0.00167,TRUE,-1.69
"A0A9D4WXP9_PEA","A0A9D4WZM9",0.000311423148131807,0.00297,TRUE,-0.894
"A0A9D4WXR6_PEA","A0A9D4WXL3",0.00110046225271314,0.00751,TRUE,-1.42
"A0A9D4WYE7_PEA","A0A9D4WYE7",6.59110834154133e-06,0.000261,TRUE,1.6
"A0A9D4WYF2_PEA","A0A9D4WYF2",6.531576342275e-07,8.14e-05,TRUE,-3.8
"A0A9D4WYH7_PEA","A0A9D4WYH7",0.000274985999238814,0.00274,TRUE,-1.15
"A0A9D4WYL8_PEA.1","A0A9D4WYL8",0.0107824230700254,0.0445,TRUE,-3.05
"A0A9D4WYN2_PEA","A0A9D4WYN2",0.000102725358524461,0.0014,TRUE,-3.7
"A0A9D4WYN7_PEA","A0A9D4WYN7",0.000284185240290683,0.00281,TRUE,-2.61
"A0A9D4WZ13_PEA","A0A9D4WZ13",0.000141235146403212,0.00174,TRUE,1.83
"A0A9D4WZ66_PEA","A0A9D4WZ66",2.07664697148774e-05,0.000516,TRUE,-1.84
"A0A9D4WZ95_PEA","A0A9D4WZ95",6.75434164464182e-07,8.14e-05,TRUE,-3.04
"A0A9D4WZA7_PEA","A0A9D4WZA7",0.000354186417205374,0.00327,TRUE,-1.41
"A0A9D4WZC0_PEA","A0A9D4WZC0",0.000241381939399265,0.00249,TRUE,-1.94
"A0A9D4WZE0_PEA","A0A9D4WZE0",0.000363870078179863,0.00334,TRUE,1.6
"A0A9D4WZK1_PEA","A0A9D4WZK1",0.000178111069318365,0.00204,TRUE,-3.42
"A0A9D4WZK5_PEA","A0A9D4WZK5",2.04152460916923e-05,0.00051,TRUE,2.09
"A0A9D4WZV2_PEA","A0A9D4WZV2",0.000741008431521331,0.00564,TRUE,1.44
"A0A9D4WZW6_PEA","A0A9D4WZW6",1.38694020031402e-05,0.000408,TRUE,-2.1
"A0A9D4X039_PEA","A0A9D4X039",1.05512921978339e-05,0.000363,TRUE,-1.92
"A0A9D4X0A7_PEA","A0A9D4X0A7",0.00143364222378668,0.00926,TRUE,-1.03
"A0A9D4X0G9_PEA","A0A9D4X0G9",0.00125176891490559,0.00831,TRUE,0.793
"A0A9D4X0K8_PEA","A0A9D4X0K8",0.000150452581477872,0.00183,TRUE,1.44
"A0A9D4X0Q3_PEA","A0A9D4X0Q3",0.00777862001912515,0.0348,TRUE,-0.704
"A0A9D4X117_PEA","A0A9D4X117",1.28485912711872e-05,0.00039,TRUE,1.58
"A0A9D4X125_PEA","A0A9D4X125",1.48217510307323e-05,0.000417,TRUE,-2.59
"A0A9D4X182_PEA","A0A9D4X182",0.000125372776610301,0.0016,TRUE,-2.05
"A0A9D4X1B6_PEA","A0A9D4X1B6",0.00452611248457048,0.0226,TRUE,0.727
"A0A9D4X1F1_PEA","A0A9D4X1F1",3.51379118684499e-06,0.000184,TRUE,1.97
"A0A9D4X1G3_PEA","A0A9D4X1G3",0.01226716461443,0.0494,TRUE,0.656
